Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
11-Oct-07,5438.9,5532.75,5424.25,5524.85,130842926,8358.87
12-Oct-07,5525.3,5549.3,5402.6,5428.25,174642549,11985.07
15-Oct-07,5428.35,5682.65,5419.9,5670.4,160987288,10253.4
16-Oct-07,5670.65,5708.35,5578.45,5668.05,174339189,11698.74
17-Oct-07,5658.9,5658.9,5107.3,5559.3,186850872,13394.73
18-Oct-07,5551.1,5736.8,5269.65,5351,206826198,13926.53
19-Oct-07,5360.35,5390.85,5101.75,5215.3,181564197,13047.28
22-Oct-07,5202.75,5247.4,5070.9,5184,136778675,9599.99
23-Oct-07,5185.3,5488.5,5176.85,5473.7,145836946,9823.52
24-Oct-07,5477.6,5577.9,5419.4,5496.15,168219323,11025.76
25-Oct-07,5499.05,5605.95,5469.3,5568.95,189001966,12355.38
26-Oct-07,5564.25,5716.9,5513.35,5702.3,164503445,10182.7
29-Oct-07,5708.9,5922.5,5708.9,5905.9,173592451,11139.04
30-Oct-07,5917.55,5976,5833.9,5868.75,176833304,11175.09
31-Oct-07,5868.9,5952.25,5861.3,5900.65,168376615,10660.49
01-Nov-07,5903.8,6011.95,5837.2,5866.45,270430021,15459.68
02-Nov-07,5854.85,5944.75,5714.25,5932.4,164840883,10390.37
05-Nov-07,5931.9,5948.55,5819.6,5847.3,169236876,10816.34
06-Nov-07,5847.1,5957.2,5759.95,5786.5,244846922,11356.55
07-Nov-07,5782.4,5861.35,5744.3,5782.35,171689234,9735.77
08-Nov-07,5779.3,5780.8,5646.75,5698.75,141330728,8866.6
09-Nov-07,5703.45,5794.2,5614.9,5663.25,21389583,1221.34
12-Nov-07,5660.6,5660.6,5477.5,5617.1,138684010,9132.66
13-Nov-07,5612.35,5758.85,5591.6,5695.4,157132078,9778.05
14-Nov-07,5703.95,5950.2,5700.05,5937.9,173322049,10476.58
15-Nov-07,5942.7,5966.95,5895.65,5912.1,146636457,8411.6
16-Nov-07,5913.15,5948.05,5817.4,5906.85,129792165,6936.06
19-Nov-07,5908.05,5981.8,5893.8,5907.65,104832611,6365.22
20-Nov-07,5911.25,5923.7,5755.8,5780.9,127253010,8344.73
21-Nov-07,5778.8,5790.05,5530.85,5561.05,129971304,8280.83
22-Nov-07,5564.65,5608.65,5394.35,5519.35,149030575,8305.68
23-Nov-07,5524.3,5638.6,5514.75,5608.6,102005286,6366.06
26-Nov-07,5611.3,5772.55,5608.95,5731.7,127104011,6682.25
27-Nov-07,5729.25,5743.55,5655.6,5698.15,96308399,5501.67
28-Nov-07,5699.55,5749.95,5595.5,5617.55,97582679,5726.96
29-Nov-07,5617.8,5725,5612.1,5634.6,301117809,12818.63
30-Nov-07,5633.9,5782.55,5632.65,5762.75,170577892,9503.39
03-Dec-07,5765.45,5878.8,5754.6,5865,111926365,7532.47
04-Dec-07,5870.2,5897.25,5840.3,5858.35,107528301,6333.67
05-Dec-07,5861.9,5949.3,5859.95,5940,120145091,7209.37
06-Dec-07,5941.05,6027.05,5919.8,5954.7,154949531,8424.27
07-Dec-07,5963.6,6042.1,5894.8,5974.3,123105339,8145.43
10-Dec-07,5974,6015.3,5923.35,5960.6,86359475,5341.86
11-Dec-07,5960.4,6111.2,5960.4,6097.25,115310729,7181.42
12-Dec-07,6067.05,6175.65,6005.45,6159.3,130818169,8144.29
13-Dec-07,6159.25,6185.4,6040.4,6058.1,120319710,7229.32
14-Dec-07,6056.2,6078.55,6015.05,6047.7,100558395,6479.84
17-Dec-07,6037.95,6039.95,5740.6,5777,108208153,6815.6
18-Dec-07,5777.6,5874.6,5710.6,5742.3,109864350,7645.87
19-Dec-07,5730.25,5840.8,5676.7,5751.15,88389658,6277.71
20-Dec-07,5751.75,5799.5,5742.75,5766.5,79144603,5815.36
24-Dec-07,5771.3,6001.05,5771.3,5985.1,100417081,6697.33
26-Dec-07,5988.45,6085.25,5988.45,6070.75,90827443,5872.56
27-Dec-07,6069,6110.85,6060.2,6081.5,150138294,9138.37
28-Dec-07,6079.55,6098.6,6021.9,6079.7,87075023,5373.72
31-Dec-07,6095,6167.75,6095,6138.6,85023208,4951.8
01-Jan-08,6136.75,6165.35,6109.85,6144.35,81305366,4410.97
02-Jan-08,6144.7,6197,6060.85,6179.4,110353305,7184.35
03-Jan-08,6184.25,6230.15,6126.4,6178.55,156427760,9475.37
04-Jan-08,6179.1,6300.05,6179.1,6274.3,147642063,8779.23
07-Jan-08,6271,6289.8,6193.35,6279.1,139778977,8873.37
08-Jan-08,6282.45,6357.1,6221.6,6287.85,162564130,10574.25
09-Jan-08,6287.55,6338.3,6231.25,6272,120853354,8104.77
10-Jan-08,6278.1,6347,6142.9,6156.95,133662127,9321.29
11-Jan-08,6166.65,6224.2,6112.55,6200.1,125140494,8457.94
14-Jan-08,6208.8,6244.15,6172,6206.8,111015627,7764.65
15-Jan-08,6226.35,6260.45,6053.3,6074.25,117677698,8500.09
16-Jan-08,6065,6065,5825.75,5935.75,152499954,10674.88
17-Jan-08,5937.95,6013.15,5880.3,5913.2,127181643,9479.64
18-Jan-08,5907.75,5908.75,5677,5705.3,135839094,9533.05
21-Jan-08,5705,5705,4977.1,5208.8,211347217,12589.09
22-Jan-08,5203.35,5203.35,4448.5,4899.3,200603284,11565.41
23-Jan-08,4903.05,5328.05,4891.6,5203.4,172729968,10029.3
24-Jan-08,5208,5357.2,4995.8,5033.45,145355769,8302.42
25-Jan-08,5035.05,5399.25,5035.05,5383.35,105876191,6228.84
28-Jan-08,5380.95,5380.95,5071,5274.1,94557347,5326.69
29-Jan-08,5279.55,5391.6,5225.25,5280.8,99068477,5553.19
30-Jan-08,5283.75,5314.3,5142.25,5167.6,101260486,5331.89
31-Jan-08,5172.25,5251.65,5071.15,5137.45,187588589,10245.43
01-Feb-08,5140.6,5339.95,5090.75,5317.25,106716699,5965.82
04-Feb-08,5315.55,5545.2,5315.55,5463.5,105796179,6278.69
05-Feb-08,5463.75,5500.6,5412.95,5483.9,96724766,5252.39
06-Feb-08,5470.4,5470.4,5257.05,5322.55,106220956,5705.13
07-Feb-08,5322.55,5344.6,5113.85,5133.25,103085491,5687.6
08-Feb-08,5132.1,5173.85,5034.25,5120.35,108947080,5960.29
11-Feb-08,5120.55,5126.4,4803.6,4857,125724868,7432.64
12-Feb-08,4877.85,4949.6,4820.45,4838.25,102374113,5729.12
13-Feb-08,4836.55,4986.55,4836.55,4929.45,104398927,5733.55
14-Feb-08,4944.65,5220.25,4944.65,5202,106458411,5936.21
15-Feb-08,5202.85,5315.4,5104.75,5302.9,110683112,5767.48
18-Feb-08,5304.45,5348.6,5224,5276.9,77582930,3748.76
19-Feb-08,5278.4,5368.45,5262,5280.8,88665218,4374.02
20-Feb-08,5267.15,5267.15,5116.3,5154.45,89916733,4898.31
21-Feb-08,5156.9,5241.35,5120.05,5191.8,89877229,4795.54
22-Feb-08,5183.4,5184,5092.8,5110.75,72385283,4125.66
25-Feb-08,5112.25,5212.35,5055.15,5200.7,78356314,4631.11
26-Feb-08,5200.8,5281.2,5200.8,5270.05,86295954,4653.65
27-Feb-08,5271.4,5368.15,5249.75,5268.4,91216141,5613.2
28-Feb-08,5266.35,5302.85,5227.15,5285.1,108030320,6665.94
29-Feb-08,5285,5290.8,5098.35,5223.5,165090052,7905.14
03-Mar-08,5222.8,5222.8,4936.05,4953,150762989,6900.77
04-Mar-08,4958.55,4976.7,4812.95,4864.25,150910718,7276.89
05-Mar-08,4866.85,4936.75,4847.25,4921.4,114859430,6165.03
07-Mar-08,4918.3,4918.3,4672.25,4771.6,146225530,7877.89
10-Mar-08,4767.8,4814.95,4620.5,4800.4,155966648,8766.45
11-Mar-08,4796.3,4888.5,4732.85,4865.9,158842196,7933.31
12-Mar-08,4869.75,5019.2,4854.75,4872,135721301,6913.21
13-Mar-08,4868.7,4868.8,4580.15,4623.6,137742263,6511.45
14-Mar-08,4623.8,4758.95,4607.55,4745.8,177665094,7383.88
17-Mar-08,4745.45,4745.45,4482.1,4503.1,143351899,6449.89
18-Mar-08,4519.9,4617.95,4468.55,4533,170020881,7987.6
19-Mar-08,4534.75,4718.4,4533.9,4573.95,164033720,7557.89
24-Mar-08,4576.8,4649.45,4539.8,4609.85,123982175,5900.93
25-Mar-08,4616.8,4896.8,4616.8,4877.5,145601277,7290.22
26-Mar-08,4878.7,4912.3,4808.65,4828.85,126360231,5814.75
27-Mar-08,4828.8,4863.75,4769.6,4830.25,180115315,8403.74
28-Mar-08,4830,4970.8,4796.35,4942,164141244,7487.22
31-Mar-08,4942.15,4947,4703.85,4734.5,150089100,7410.8
01-Apr-08,4735.65,4800.75,4628.75,4739.55,119878713,5875.1
02-Apr-08,4741.4,4916.75,4741.4,4754.2,115678126,5708.19
03-Apr-08,4753.9,4833.25,4738.2,4771.6,130583246,6636.39
04-Apr-08,4766.7,4791.7,4632.7,4647,132143809,6626.62
07-Apr-08,4631.35,4798.55,4628.8,4761.2,124925089,6404.59
08-Apr-08,4760.65,4769.55,4677.8,4709.65,113783563,6300.38
09-Apr-08,4707.05,4758.25,4667.5,4747.05,101430145,5071.07
10-Apr-08,4747.55,4799.5,4720.9,4733,150146637,6919.6
11-Apr-08,4734.35,4817.4,4727.25,4777.8,132775090,6512.54
15-Apr-08,4779.95,4917.1,4708.3,4879.65,152133622,7483.14
16-Apr-08,4881.65,4951.4,4874.05,4887.3,137348930,6695.34
17-Apr-08,4890.6,4984.95,4889.65,4958.4,135283525,6587.14
21-Apr-08,4955.9,5053.4,4955.9,5037,110601430,5715.21
22-Apr-08,5037.05,5074.25,4994.05,5049.3,126837163,6268.68
23-Apr-08,5044.35,5083.5,5003.55,5022.8,146161834,6682.3
24-Apr-08,5022.9,5072.7,4991.35,4999.85,154288468,7492.21
25-Apr-08,4999.15,5117.7,4999.15,5111.7,134465254,7109
28-Apr-08,5112.5,5147.45,5079.15,5089.65,110778893,6011.78
29-Apr-08,5092.4,5210.9,5082.15,5195.5,215000545,9256.51
30-Apr-08,5198.35,5230.75,5155.85,5165.9,146277434,7570.08
02-May-08,5265.3,5298.85,5197.6,5228.2,131260266,7116.13
05-May-08,5227.25,5254.5,5182.6,5192.25,125641202,6433.55
06-May-08,5192.35,5206.5,5110.9,5144.65,131800270,6918.37
07-May-08,5156.7,5159.05,5101.25,5135.5,153438748,7619.1
08-May-08,5135.8,5143.05,5062.45,5081.7,127167885,6306.27
09-May-08,5070.85,5087.65,4969.4,4982.6,142385969,6875.81
12-May-08,4981,5021.75,4913.8,5012.65,151227287,6655.44
13-May-08,5008.6,5066,4943.75,4957.8,158521953,7243.14
14-May-08,4958.45,5026.1,4932.05,5011.75,147937974,6731.3
15-May-08,5010.9,5118.55,4999.6,5115.25,150871774,7840.38
16-May-08,5115.65,5167.4,5106.4,5157.7,152622286,6775.73
20-May-08,5157,5160.05,5072.4,5104.95,158813241,7032.91
21-May-08,5105.7,5135.55,5048.7,5117.65,163032543,7158.77
22-May-08,5117,5118.9,5010.7,5025.45,113544128,5693.06
23-May-08,5026.55,5059.05,4940.7,4946.55,152368191,6593.45
26-May-08,4953.6,4953.6,4858,4875.05,124506200,6098.96
27-May-08,4877.15,4932,4846.2,4859.8,120401073,5571.07
28-May-08,4862.7,4926.9,4835.65,4918.35,140737265,6892.13
29-May-08,4926.3,4957.4,4801.9,4835.3,194902303,9838.88
30-May-08,4844.05,4908.85,4833.45,4870.1,138696130,7722.67
02-Jun-08,4869.25,4908.8,4713,4739.6,118396812,5991.2
03-Jun-08,4739.3,4739.3,4634,4715.9,140745401,6764.13
04-Jun-08,4718.7,4731.5,4564.5,4585.6,154838181,7308.81
05-Jun-08,4586.95,4690.6,4536.25,4676.95,169638133,9560.6
06-Jun-08,4680.55,4746.3,4614.25,4627.8,132088975,7052.47
09-Jun-08,4626.45,4626.45,4411.6,4500.95,175247907,8431.34
10-Jun-08,4522,4522.55,4369.8,4449.8,165412516,8214.7
11-Jun-08,4469.65,4541.05,4468.05,4523.6,166416446,8126.26
12-Jun-08,4524.4,4550,4392,4539.35,164247033,7653.56
13-Jun-08,4539.5,4563.35,4491.35,4517.1,139532826,6339.8
16-Jun-08,4536.3,4617.7,4536.3,4572.5,111415055,5652.28
17-Jun-08,4572.5,4664.05,4561.75,4653,107221118,5511.88
18-Jun-08,4652.8,4679.75,4569.9,4582.4,136923928,6135.84
19-Jun-08,4582.55,4585.7,4488.95,4504.25,102266764,4954.97
20-Jun-08,4504.2,4532,4333.6,4347.55,133685260,6911.03
23-Jun-08,4351.15,4351.15,4225.5,4266.4,126376126,6121.52
24-Jun-08,4271.05,4305.9,4156.1,4191.1,132477086,6496.81
25-Jun-08,4189.6,4264.55,4093.2,4252.65,152437781,6960.36
26-Jun-08,4252.6,4324.75,4230,4315.85,196473131,9352.43
27-Jun-08,4315.3,4315.3,4119.2,4136.65,177324470,7883.16
30-Jun-08,4136.25,4163,4021.7,4040.55,144491241,6523.86
01-Jul-08,4039.75,4075.4,3878.2,3896.75,164469220,6939.93
02-Jul-08,3895.3,4107.15,3848.25,4093.35,199920144,8909.44
03-Jul-08,4094.6,4097.35,3874.85,3925.75,154573765,7101.42
04-Jul-08,3926.65,4033.5,3896.4,4016,152045352,6563.36
07-Jul-08,4002,4114.5,4002,4030,125737237,5517.21
08-Jul-08,4028.7,4028.7,3896.05,3988.55,135090953,6166.83
09-Jul-08,3990.9,4169.4,3990.9,4157.1,144597409,6595.61
10-Jul-08,4155.65,4187.95,4110.4,4162.2,146458190,6354.79
11-Jul-08,4166,4215.5,4014.45,4049,137337875,6947.53
14-Jul-08,4047.45,4118.1,4004.25,4039.7,126882896,6062.87
